symbol,segment,ANN_DATE,CHANGE_DATE,CURRENT_SIGN,IS_VALID,TOT_SHARE,FLOAT_A_SHARE,TOT_TRADABLE_SHARE,TOT_RESTRICTED_SHARE,SHARE_CHANGE_REASON_STR
000010.SZ,tail,20251021,20251023,0,1,114965.2292,83039.169,83039.169,31926.0602,定向增发机构配售上市
000010.SZ,tail,20251213,20251213,0,1,114965.2292,83039.394,83039.394,31925.8352,高管股份变动
000011.SZ,head,19920327,19920330,0,1,25751.189,3500.0,6500.0,0.0,新股上市
000011.SZ,head,19930630,19930716,0,1,34443.6857,5290.0,9197.14,0.0,送股
000011.SZ,head,19940418,19940511,0,0,43604.6494,6877.0,10784.14,0.0,送股
000011.SZ,head,19950411,19940711,0,1,44776.7914,7553.0,12632.282,0.0,内部职工股上市
000011.SZ,tail,20170831,20170630,0,1,59597.9092,17586.2626,24346.7869,35251.1223,股东变化导致股份结构变动
000011.SZ,tail,20190718,20190719,0,1,59597.9092,52644.2569,59404.7812,193.128,股改限售股份上市
000011.SZ,tail,20200428,20200430,0,1,59597.9092,52647.5543,59408.0786,189.8306,股改限售股份上市
000011.SZ,tail,20240828,20240304,1,1,59597.9092,52647.5543,59408.0786,189.8306,股东变化导致股份结构变动
000012.SZ,head,19920223,19920228,0,1,10753.255,1700.0,3300.0,0.0,新股上市
000012.SZ,head,19930828,19930828,0,1,10753.255,2030.0,3630.0,0.0,内部职工股上市
000012.SZ,head,19930516,19931124,0,1,19355.859,3654.0,7531.2557,0.0,
000012.SZ,head,19940427,19940517,0,1,25162.6167,4750.2,9790.6325,0.0,B股送股
000012.SZ,tail,20230829,20230630,0,1,307069.2107,195696.6398,306633.5458,435.6649,高管股份变动
000012.SZ,tail,20240426,20231231,0,1,307069.2107,195927.9645,306864.8705,204.3402,高管股份变动
000012.SZ,tail,20250214,20241231,0,1,307069.2107,195926.7327,306863.6387,205.572,高管股份变动
000012.SZ,tail,20250819,20250630,1,1,307069.2107,195931.6598,306868.5658,200.6449,高管股份变动
